Date,date,AUSS,id,USDGBP,frequency
Impo--15,Important notes,,8,,
1988-3-15,1988 MAR,,691,,monthly
1988-4-15,1988 APR,,692,,monthly
1988-5-15,1988 MAY,,693,,monthly
1988-6-15,1988 JUN,,694,,monthly
1988-7-15,1988 JUL,,695,,monthly
1988-8-15,1988 AUG,,696,,monthly
1988-9-15,1988 SEP,,697,,monthly
1988-10-15,1988 OCT,,698,,monthly
1988-11-15,1988 NOV,,699,,monthly
1988-12-15,1988 DEC,,700,,monthly
1989-1-15,1989 JAN,,701,,monthly
1989-2-15,1989 FEB,,702,,monthly
1989-3-15,1989 MAR,,703,,monthly
1989-4-15,1989 APR,,704,,monthly
1989-5-15,1989 MAY,,705,,monthly
1989-6-15,1989 JUN,,706,,monthly
1989-7-15,1989 JUL,,707,,monthly
1989-8-15,1989 AUG,,708,,monthly
1989-9-15,1989 SEP,,709,,monthly
1989-10-15,1989 OCT,,710,,monthly
1989-11-15,1989 NOV,,711,,monthly
1989-12-15,1989 DEC,,712,,monthly
1990-1-15,1990 JAN,,713,,monthly
1990-2-15,1990 FEB,,714,,monthly
1990-3-15,1990 MAR,,715,,monthly
1990-4-15,1990 APR,,716,,monthly
1990-5-15,1990 MAY,,717,,monthly
1990-6-15,1990 JUN,,718,,monthly
1990-7-15,1990 JUL,,719,,monthly
1990-8-15,1990 AUG,,720,,monthly
1990-9-15,1990 SEP,,721,,monthly
1990-10-15,1990 OCT,,722,,monthly
1990-11-15,1990 NOV,,723,,monthly
1990-12-15,1990 DEC,,724,,monthly
1991-1-15,1991 JAN,,725,,monthly
1991-2-15,1991 FEB,,726,,monthly
1991-3-15,1991 MAR,,727,,monthly
1991-4-15,1991 APR,,728,,monthly
1991-5-15,1991 MAY,,729,,monthly
1991-6-15,1991 JUN,,730,,monthly
1991-7-15,1991 JUL,,731,,monthly
1991-8-15,1991 AUG,,732,,monthly
1991-9-15,1991 SEP,,733,,monthly
1991-10-15,1991 OCT,,734,,monthly
1991-11-15,1991 NOV,,735,,monthly
1991-12-15,1991 DEC,,736,,monthly
1992-1-15,1992 JAN,,737,,monthly
1992-2-15,1992 FEB,,738,,monthly
1992-3-15,1992 MAR,,739,,monthly
1992-4-15,1992 APR,,740,,monthly
1992-5-15,1992 MAY,,741,,monthly
1992-6-15,1992 JUN,,742,,monthly
1992-7-15,1992 JUL,,743,,monthly
1992-8-15,1992 AUG,,744,,monthly
1992-9-15,1992 SEP,,745,,monthly
1992-10-15,1992 OCT,,746,,monthly
1992-11-15,1992 NOV,,747,,monthly
1992-12-15,1992 DEC,,748,,monthly
1993-1-15,1993 JAN,,749,,monthly
1993-2-15,1993 FEB,,750,,monthly
1993-3-15,1993 MAR,,751,,monthly
1993-4-15,1993 APR,,752,,monthly
1993-5-15,1993 MAY,,753,,monthly
1993-6-15,1993 JUN,,754,,monthly
1993-7-15,1993 JUL,,755,,monthly
1993-8-15,1993 AUG,,756,,monthly
1993-9-15,1993 SEP,,757,,monthly
1993-10-15,1993 OCT,,758,,monthly
1993-11-15,1993 NOV,,759,,monthly
1993-12-15,1993 DEC,,760,,monthly
1994-1-15,1994 JAN,,761,,monthly
1994-2-15,1994 FEB,,762,,monthly
1994-3-15,1994 MAR,,763,,monthly
1994-4-15,1994 APR,,764,,monthly
1994-5-15,1994 MAY,,765,,monthly
1994-6-15,1994 JUN,,766,,monthly
1994-7-15,1994 JUL,,767,,monthly
1994-8-15,1994 AUG,,768,,monthly
1994-9-15,1994 SEP,,769,,monthly
1994-10-15,1994 OCT,,770,,monthly
1994-11-15,1994 NOV,,771,,monthly
1994-12-15,1994 DEC,,772,,monthly
1995-1-15,1995 JAN,,773,,monthly
1995-2-15,1995 FEB,,774,,monthly
1995-3-15,1995 MAR,,775,,monthly
1995-4-15,1995 APR,,776,,monthly
1995-5-15,1995 MAY,,777,,monthly
1995-6-15,1995 JUN,,778,,monthly
1995-7-15,1995 JUL,,779,,monthly
1995-8-15,1995 AUG,,780,,monthly
1995-9-15,1995 SEP,,781,,monthly
1995-10-15,1995 OCT,,782,,monthly
1995-11-15,1995 NOV,,783,,monthly
1995-12-15,1995 DEC,,784,,monthly
1996-1-15,1996 JAN,,785,,monthly
1996-2-15,1996 FEB,,786,,monthly
1996-3-15,1996 MAR,,787,,monthly
1996-4-15,1996 APR,,788,,monthly
1996-5-15,1996 MAY,,789,,monthly
1996-6-15,1996 JUN,,790,,monthly
1996-7-15,1996 JUL,,791,,monthly
1996-8-15,1996 AUG,,792,,monthly
1996-9-15,1996 SEP,,793,,monthly
1996-10-15,1996 OCT,,794,,monthly
1996-11-15,1996 NOV,,795,,monthly
1996-12-15,1996 DEC,,796,,monthly
1997-1-15,1997 JAN,1.6587,797,.60288179,monthly
1997-2-15,1997 FEB,1.6246,798,.61553615,monthly
1997-3-15,1997 MAR,1.6063,799,.6225487,monthly
1997-4-15,1997 APR,1.6295,800,.61368519,monthly
1997-5-15,1997 MAY,1.6334,801,.61221993,monthly
1997-6-15,1997 JUN,1.6446,802,.60805058,monthly
1997-7-15,1997 JUL,1.6702,803,.59873068,monthly
1997-8-15,1997 AUG,1.6034,804,.62367469,monthly
1997-9-15,1997 SEP,1.6015,805,.62441462,monthly
1997-10-15,1997 OCT,1.6329,806,.61240739,monthly
1997-11-15,1997 NOV,1.689,807,.59206629,monthly
1997-12-15,1997 DEC,1.6597,808,.6025185,monthly
1998-1-15,1998 JAN,1.6353,809,.61150861,monthly
1998-2-15,1998 FEB,1.6407,810,.60949594,monthly
1998-3-15,1998 MAR,1.662,811,.60168469,monthly
1998-4-15,1998 APR,1.6733,812,.59762144,monthly
1998-5-15,1998 MAY,1.6366,813,.61102283,monthly
1998-6-15,1998 JUN,1.6507,814,.60580361,monthly
1998-7-15,1998 JUL,1.6437,815,.60838354,monthly
1998-8-15,1998 AUG,1.632,816,.61274511,monthly
1998-9-15,1998 SEP,1.6822,817,.59445965,monthly
1998-10-15,1998 OCT,1.6952,818,.58990091,monthly
1998-11-15,1998 NOV,1.662,819,.60168469,monthly
1998-12-15,1998 DEC,1.6705,820,.59862316,monthly
1999-1-15,1999 JAN,1.6509,821,.60573024,monthly
1999-2-15,1999 FEB,1.6276,822,.61440158,monthly
1999-3-15,1999 MAR,1.622,823,.61652279,monthly
1999-4-15,1999 APR,1.6105,824,.62092519,monthly
1999-5-15,1999 MAY,1.6154,825,.61904174,monthly
1999-6-15,1999 JUN,1.595,826,.62695926,monthly
1999-7-15,1999 JUL,1.5747,827,.63504159,monthly
1999-8-15,1999 AUG,1.6073,828,.62216139,monthly
1999-9-15,1999 SEP,1.6243,829,.61564982,monthly
1999-10-15,1999 OCT,1.6572,830,.60342747,monthly
1999-11-15,1999 NOV,1.6214,831,.61675096,monthly
1999-12-15,1999 DEC,1.6132,832,.61988592,monthly
2000-1-15,2000 JAN,1.6402,833,.60968173,monthly
2000-2-15,2000 FEB,1.5998,834,.62507814,monthly
2000-3-15,2000 MAR,1.5802,835,.63283128,monthly
2000-4-15,2000 APR,1.5837,836,.63143271,monthly
2000-5-15,2000 MAY,1.5075,837,.66334993,monthly
2000-6-15,2000 JUN,1.5089,838,.66273445,monthly
2000-7-15,2000 JUL,1.5088,839,.66277838,monthly
2000-8-15,2000 AUG,1.491,840,.67069083,monthly
2000-9-15,2000 SEP,1.4355,841,.69662136,monthly
2000-10-15,2000 OCT,1.4511,842,.68913239,monthly
2000-11-15,2000 NOV,1.4256,843,.70145905,monthly
2000-12-15,2000 DEC,1.4625,844,.6837607,monthly
2001-1-15,2001 JAN,1.4769,845,.67709392,monthly
2001-2-15,2001 FEB,1.4529,846,.68827862,monthly
2001-3-15,2001 MAR,1.4454,847,.69185001,monthly
2001-4-15,2001 APR,1.435,848,.69686413,monthly
2001-5-15,2001 MAY,1.4259,849,.70131147,monthly
2001-6-15,2001 JUN,1.4014,850,.71357214,monthly
2001-7-15,2001 JUL,1.4139,851,.70726359,monthly
2001-8-15,2001 AUG,1.4365,852,.69613642,monthly
2001-9-15,2001 SEP,1.4635,853,.68329346,monthly
2001-10-15,2001 OCT,1.4517,854,.68884754,monthly
2001-11-15,2001 NOV,1.4358,855,.6964758,monthly
2001-12-15,2001 DEC,1.4409,856,.69401067,monthly
2002-1-15,2002 JAN,1.4323,857,.69817775,monthly
2002-2-15,2002 FEB,1.4231,858,.70269132,monthly
2002-3-15,2002 MAR,1.4225,859,.70298767,monthly
2002-4-15,2002 APR,1.4434,860,.69280863,monthly
2002-5-15,2002 MAY,1.4593,861,.68526006,monthly
